doy,tree,grass,weed,mold
1,9,0,0,1
2,10,0,0,1
3,11,0,0,1
4,13,0,0,1
5,14,0,0,1
6,15,0,0,1
7,17,0,0,1
8,18,0,0,1
9,20,0,0,1
10,21,0,0,2
11,23,0,0,2
12,25,0,0,2
13,27,0,0,2
14,28,0,0,2
15,30,0,0,2
16,32,0,0,2
17,34,0,0,2
18,36,0,0,2
19,38,0,0,2
20,40,0,0,2
21,42,0,0,2
22,44,0,0,2
23,45,0,0,3
24,47,0,0,3
25,49,0,0,3
26,50,0,0,3
27,52,0,0,3
28,53,0,0,3
29,55,0,0,3
30,56,0,0,3
31,57,0,0,3
32,58,0,0,4
33,58,0,0,4
34,59,0,0,4
35,59,0,0,4
36,60,0,0,4
37,60,0,0,4
38,60,0,0,4
39,60,0,0,5
40,60,0,0,5
41,59,0,0,5
42,59,0,0,5
43,58,0,0,5
44,58,0,0,5
45,57,0,0,6
46,56,0,0,6
47,56,0,0,6
48,55,0,0,6
49,54,0,0,6
50,53,0,0,7
51,53,0,0,7
52,52,0,0,7
53,51,0,0,7
54,51,0,0,8
55,50,0,0,8
56,49,0,0,8
57,49,0,0,8
58,49,0,0,9
59,49,0,0,9
60,48,0,0,9
61,48,1,0,9
62,49,1,0,10
63,49,1,0,10
64,49,1,0,10
65,50,1,0,11
66,50,1,0,11
67,51,1,0,11
68,52,1,0,11
69,53,1,0,12
70,54,1,0,12
71,55,1,0,13
72,57,1,0,13
73,58,2,0,13
74,59,2,0,14
75,61,2,0,14
76,63,2,0,14
77,64,2,0,15
78,66,2,0,15
79,68,3,0,16
80,70,3,0,16
81,71,3,0,16
82,73,3,0,17
83,75,4,0,17
84,77,4,0,18
85,79,4,0,18
86,80,5,0,19
87,82,5,0,19
88,84,6,0,20
89,86,6,0,20
90,87,6,0,21
91,89,7,0,21
92,90,7,0,22
93,92,8,0,22
94,93,9,0,23
95,94,9,0,23
96,95,10,0,24
97,96,10,0,24
98,97,11,0,25
99,98,12,0,26
100,98,13,0,26
101,99,14,0,27
102,99,14,0,27
103,100,15,0,28
104,100,16,0,29
105,100,17,0,29
106,100,18,0,30
107,100,19,0,30
